GameId,PitcherId,HitterId,PitcherSide,HitterSide,PrimaryEvent,PitcherTeamId,HitterTeamId,PA,AB,H,2B,3B,HR,TB,BB,SF,HBP
2016/09/21/anamlb-texmlb-1,450308,462101,R,R,BB,108,140,1,0,0,0,0,0,0,1,0,0
2016/09/21/anamlb-texmlb-1,450308,595777,R,L,SB,108,140,0,0,0,0,0,0,0,0,0,0
2016/09/21/anamlb-texmlb-1,450308,595777,R,L,KC,108,140,1,1,0,0,0,0,0,0,0,0
2016/09/21/anamlb-texmlb-1,450308,460576,R,R,FO,108,140,1,1,0,0,0,0,0,0,0,0
2016/09/21/anamlb-texmlb-1,450308,608577,R,L,S,108,140,1,1,1,0,0,0,1,0,0,0
2016/09/21/anamlb-texmlb-1,450308,136860,R,L,HR,108,140,1,1,1,0,0,1,4,0,0,0
2016/09/21/anamlb-texmlb-1,450308,134181,R,R,FO,108,140,1,1,0,0,0,0,0,0,0,0
2016/09/21/anamlb-texmlb-1,600917,527043,R,R,D,140,108,1,1,1,1,0,0,2,0,0,0
2016/09/21/anamlb-texmlb-1,600917,543068,R,R,KS,140,108,1,1,0,0,0,0,0,0,0,0
2016/09/21/anamlb-texmlb-1,600917,542364,R,L,BB,140,108,1,0,0,0,0,0,0,1,0,0
2016/09/21/anamlb-texmlb-1,489294,542208,R,R,E,140,108,0,0,0,0,0,0,0,0,0,0
2016/09/21/anamlb-texmlb-1,489294,542208,R,R,BB,140,108,1,0,0,0,0,0,0,1,0,0
2016/09/21/anamlb-texmlb-1,489294,460060,R,L,KS,140,108,1,1,0,0,0,0,0,0,0,0
2016/09/21/anamlb-texmlb-1,489294,488862,R,R,GO,140,108,1,1,0,0,0,0,0,0,0,0
2016/09/21/anamlb-texmlb-1,450308,596059,R,L,KC,108,140,1,1,0,0,0,0,0,0,0,0
2016/09/21/anamlb-texmlb-1,450308,518960,R,R,KC,108,140,1,1,0,0,0,0,0,0,0,0
2016/09/21/anamlb-texmlb-1,450308,519048,R,L,FO,108,140,1,1,0,0,0,0,0,0,0,0
2016/09/21/anamlb-texmlb-1,489294,545361,R,R,GO,140,108,1,1,0,0,0,0,0,0,0,0
2016/09/21/anamlb-texmlb-1,489294,405395,R,R,LO,140,108,1,1,0,0,0,0,0,0,0,0
2016/09/21/anamlb-texmlb-1,489294,592743,R,R,FO,140,108,1,1,0,0,0,0,0,0,0,0
2016/09/21/anamlb-texmlb-1,592091,462101,R,R,FO,108,140,1,1,0,0,0,0,0,0,0,0
2016/09/21/anamlb-texmlb-1,592091,595777,R,L,FO,108,140,1,1,0,0,0,0,0,0,0,0
2016/09/21/anamlb-texmlb-1,592091,460576,R,R,GO,108,140,1,1,0,0,0,0,0,0,0,0
2016/09/21/anamlb-texmlb-1,489294,527043,R,R,GO,140,108,1,1,0,0,0,0,0,0,0,0
2016/09/21/anamlb-texmlb-1,489294,543068,R,R,LO,140,108,1,1,0,0,0,0,0,0,0,0
2016/09/21/anamlb-texmlb-1,592222,542364,L,L,GO,140,108,1,1,0,0,0,0,0,0,0,0
2016/09/21/anamlb-texmlb-1,500724,608577,R,L,GO,108,140,1,1,0,0,0,0,0,0,0,0
2016/09/21/anamlb-texmlb-1,500724,136860,R,L,S,108,140,1,1,1,0,0,0,1,0,0,0
2016/09/21/anamlb-texmlb-1,500724,134181,R,R,GO,108,140,1,1,0,0,0,0,0,0,0,0
2016/09/21/anamlb-texmlb-1,500724,596059,R,L,FO,108,140,1,1,0,0,0,0,0,0,0,0
2016/09/21/anamlb-texmlb-1,456713,542208,R,R,KS,140,108,1,1,0,0,0,0,0,0,0,0
2016/09/21/anamlb-texmlb-1,456713,460060,R,L,FO,140,108,1,1,0,0,0,0,0,0,0,0
2016/09/21/anamlb-texmlb-1,456713,488862,R,R,S,140,108,1,1,1,0,0,0,1,0,0,0
2016/09/21/anamlb-texmlb-1,456713,545361,R,R,LO,140,108,1,1,0,0,0,0,0,0,0,0
2016/09/21/anamlb-texmlb-1,457732,518960,R,R,LO,108,140,1,1,0,0,0,0,0,0,0,0
2016/09/21/anamlb-texmlb-1,457732,519048,R,L,KC,108,140,1,1,0,0,0,0,0,0,0,0
2016/09/21/anamlb-texmlb-1,457732,462101,R,R,D,108,140,1,1,1,1,0,0,2,0,0,0
2016/09/21/anamlb-texmlb-1,457732,595777,R,L,HBP,108,140,1,0,0,0,0,0,0,0,0,1
2016/09/21/anamlb-texmlb-1,457732,460576,R,R,FC,108,140,1,1,0,0,0,0,0,0,0,0
2016/09/21/arimlb-sdnmlb-1,606131,516416,R,R,FO,135,109,1,1,0,0,0,0,0,0,0,0
2016/09/21/arimlb-sdnmlb-1,606131,572008,R,R,GO,135,109,1,1,0,0,0,0,0,0,0,0
2016/09/21/arimlb-sdnmlb-1,606131,502671,R,R,HR,135,109,1,1,1,0,0,1,4,0,0,0
2016/09/21/arimlb-sdnmlb-1,606131,456078,R,R,S,135,109,1,1,1,0,0,0,1,0,0,0
2016/09/21/arimlb-sdnmlb-1,606131,571875,R,L,KS,135,109,1,1,0,0,0,0,0,0,0,0
2016/09/21/arimlb-sdnmlb-1,425844,608671,R,L,S,109,135,1,1,1,0,0,0,1,0,0,0
2016/09/21/arimlb-sdnmlb-1,425844,445055,R,L,FO,109,135,1,1,0,0,0,0,0,0,0,0
2016/09/21/arimlb-sdnmlb-1,425844,571976,R,R,SBA,109,135,0,0,0,0,0,0,0,0,0,0
2016/09/21/arimlb-sdnmlb-1,425844,571976,R,R,BB,109,135,1,0,0,0,0,0,0,1,0,0
2016/09/21/arimlb-sdnmlb-1,425844,572114,R,L,KS,109,135,1,1,0,0,0,0,0,0,0,0
2016/09/21/arimlb-sdnmlb-1,425844,543105,R,L,FO,109,135,1,1,0,0,0,0,0,0,0,0
2016/09/21/arimlb-sdnmlb-1,606131,630111,R,R,GO,135,109,1,1,0,0,0,0,0,0,0,0
2016/09/21/arimlb-sdnmlb-1,606131,592273,R,R,GO,135,109,1,1,0,0,0,0,0,0,0,0
2016/09/21/arimlb-sdnmlb-1,606131,593647,R,L,LO,135,109,1,1,0,0,0,0,0,0,0,0
2016/09/21/arimlb-sdnmlb-1,425844,506560,R,L,KS,109,135,1,1,0,0,0,0,0,0,0,0
2016/09/21/arimlb-sdnmlb-1,425844,596143,R,L,FO,109,135,1,1,0,0,0,0,0,0,0,0
2016/09/21/arimlb-sdnmlb-1,425844,519083,R,R,GO,109,135,1,1,0,0,0,0,0,0,0,0
2016/09/21/arimlb-sdnmlb-1,606131,425844,R,R,GO,135,109,1,1,0,0,0,0,0,0,0,0
2016/09/21/arimlb-sdnmlb-1,606131,516416,R,R,GO,135,109,1,1,0,0,0,0,0,0,0,0
2016/09/21/arimlb-sdnmlb-1,606131,572008,R,R,GO,135,109,1,1,0,0,0,0,0,0,0,0
2016/09/21/arimlb-sdnmlb-1,425844,606131,R,R,KS,109,135,1,1,0,0,0,0,0,0,0,0
2016/09/21/arimlb-sdnmlb-1,425844,608671,R,L,KS,109,135,1,1,0,0,0,0,0,0,0,0
2016/09/21/arimlb-sdnmlb-1,425844,445055,R,L,BB,109,135,1,0,0,0,0,0,0,1,0,0
2016/09/21/arimlb-sdnmlb-1,425844,571976,R,R,HR,109,135,1,1,1,0,0,1,4,0,0,0
2016/09/21/arimlb-sdnmlb-1,425844,572114,R,L,FO,109,135,1,1,0,0,0,0,0,0,0,0
2016/09/21/arimlb-sdnmlb-1,606131,502671,R,R,FO,135,109,1,1,0,0,0,0,0,0,0,0
2016/09/21/arimlb-sdnmlb-1,606131,456078,R,R,GO,135,109,1,1,0,0,0,0,0,0,0,0
2016/09/21/arimlb-sdnmlb-1,606131,571875,R,L,FO,135,109,1,1,0,0,0,0,0,0,0,0
2016/09/21/arimlb-sdnmlb-1,425844,543105,R,L,BB,109,135,1,0,0,0,0,0,0,1,0,0
2016/09/21/arimlb-sdnmlb-1,425844,506560,R,L,GO,109,135,1,1,0,0,0,0,0,0,0,0
2016/09/21/arimlb-sdnmlb-1,425844,596143,R,L,FO,109,135,1,1,0,0,0,0,0,0,0,0
2016/09/21/arimlb-sdnmlb-1,425844,519083,R,R,IBB,109,135,1,0,0,0,0,0,0,1,0,0
2016/09/21/arimlb-sdnmlb-1,425844,606131,R,R,KC,109,135,1,1,0,0,0,0,0,0,0,0
2016/09/21/arimlb-sdnmlb-1,606131,630111,R,R,S,135,109,1,1,1,0,0,0,1,0,0,0
2016/09/21/arimlb-sdnmlb-1,606131,592273,R,R,GIDP,135,109,1,1,0,0,0,0,0,0,0,0
2016/09/21/arimlb-sdnmlb-1,606131,593647,R,L,KC,135,109,1,1,0,0,0,0,0,0,0,0
2016/09/21/arimlb-sdnmlb-1,425844,608671,R,L,GO,109,135,1,1,0,0,0,0,0,0,0,0
2016/09/21/arimlb-sdnmlb-1,425844,445055,R,L,GO,109,135,1,1,0,0,0,0,0,0,0,0
2016/09/21/arimlb-sdnmlb-1,425844,571976,R,R,LO,109,135,1,1,0,0,0,0,0,0,0,0
2016/09/21/arimlb-sdnmlb-1,606131,425844,R,R,FO,135,109,1,1,0,0,0,0,0,0,0,0
2016/09/21/arimlb-sdnmlb-1,606131,516416,R,R,S,135,109,1,1,1,0,0,0,1,0,0,0
2016/09/21/arimlb-sdnmlb-1,606131,572008,R,R,FC,135,109,1,1,0,0,0,0,0,0,0,0
2016/09/21/arimlb-sdnmlb-1,606131,502671,R,R,HR,135,109,1,1,1,0,0,1,4,0,0,0
2016/09/21/arimlb-sdnmlb-1,606131,456078,R,R,GO,135,109,1,1,0,0,0,0,0,0,0,0
2016/09/21/arimlb-sdnmlb-1,425844,572114,R,L,KS,109,135,1,1,0,0,0,0,0,0,0,0
2016/09/21/arimlb-sdnmlb-1,425844,543105,R,L,KS,109,135,1,1,0,0,0,0,0,0,0,0
2016/09/21/arimlb-sdnmlb-1,425844,506560,R,L,GO,109,135,1,1,0,0,0,0,0,0,0,0
2016/09/21/arimlb-sdnmlb-1,606131,571875,R,L,FO,135,109,1,1,0,0,0,0,0,0,0,0
2016/09/21/arimlb-sdnmlb-1,606131,630111,R,R,GO,135,109,1,1,0,0,0,0,0,0,0,0
2016/09/21/arimlb-sdnmlb-1,606131,592273,R,R,GO,135,109,1,1,0,0,0,0,0,0,0,0
2016/09/21/arimlb-sdnmlb-1,517414,596143,R,L,KS,109,135,1,1,0,0,0,0,0,0,0,0
2016/09/21/arimlb-sdnmlb-1,517414,519083,R,R,D,109,135,1,1,1,1,0,0,2,0,0,0
2016/09/21/arimlb-sdnmlb-1,517414,641319,R,L,KC,109,135,1,1,0,0,0,0,0,0,0,0
2016/09/21/arimlb-sdnmlb-1,546276,592669,L,R,IBB,109,135,1,0,0,0,0,0,0,1,0,0
2016/09/21/arimlb-sdnmlb-1,546276,445055,L,L,FC,109,135,1,1,0,0,0,0,0,0,0,0
2016/09/21/arimlb-sdnmlb-1,453344,593647,R,L,BB,135,109,1,0,0,0,0,0,0,1,0,0
2016/09/21/arimlb-sdnmlb-1,453344,571745,R,R,GIDP,135,109,1,1,0,0,0,0,0,0,0,0
2016/09/21/arimlb-sdnmlb-1,453344,516416,R,R,FO,135,109,1,1,0,0,0,0,0,0,0,0
2016/09/21/arimlb-sdnmlb-1,545332,571976,R,R,FO,109,135,1,1,0,0,0,0,0,0,0,0
2016/09/21/arimlb-sdnmlb-1,545332,572114,R,L,KS,109,135,1,1,0,0,0,0,0,0,0,0
2016/09/21/arimlb-sdnmlb-1,545332,543105,R,L,D,109,135,1,1,1,1,0,0,2,0,0,0
2016/09/21/arimlb-sdnmlb-1,543339,516949,R,L,LO,109,135,1,1,0,0,0,0,0,0,0,0
2016/09/21/arimlb-sdnmlb-1,534812,572008,R,R,FO,135,109,1,1,0,0,0,0,0,0,0,0
2016/09/21/arimlb-sdnmlb-1,534812,502671,R,R,GO,135,109,1,1,0,0,0,0,0,0,0,0
2016/09/21/arimlb-sdnmlb-1,534812,456078,R,R,LO,135,109,1,1,0,0,0,0,0,0,0,0
2016/09/21/arimlb-sdnmlb-1,543339,596143,R,L,FO,109,135,1,1,0,0,0,0,0,0,0,0
2016/09/21/arimlb-sdnmlb-1,543339,519083,R,R,LO,109,135,1,1,0,0,0,0,0,0,0,0
2016/09/21/arimlb-sdnmlb-1,543339,489267,R,R,KS,109,135,1,1,0,0,0,0,0,0,0,0
2016/09/21/atlmlb-nynmlb-1,112526,542255,R,L,FO,121,144,1,1,0,0,0,0,0,0,0,0
2016/09/21/atlmlb-nynmlb-1,112526,611177,R,R,S,121,144,1,1,1,0,0,0,1,0,0,0
2016/09/21/atlmlb-nynmlb-1,112526,518692,R,L,FO,121,144,1,1,0,0,0,0,0,0,0,0
2016/09/21/atlmlb-nynmlb-1,112526,461314,R,R,FO,121,144,1,1,0,0,0,0,0,0,0,0
2016/09/21/atlmlb-nynmlb-1,543901,408314,R,L,BB,144,121,1,0,0,0,0,0,0,1,0,0
2016/09/21/atlmlb-nynmlb-1,543901,452678,R,L,SB,144,121,0,0,0,0,0,0,0,0,0,0
2016/09/21/atlmlb-nynmlb-1,543901,452678,R,L,HR,144,121,1,1,1,0,0,1,4,0,0,0
2016/09/21/atlmlb-nynmlb-1,543901,493316,R,R,FO,144,121,1,1,0,0,0,0,0,0,0,0
2016/09/21/atlmlb-nynmlb-1,543901,434158,R,L,KC,144,121,1,1,0,0,0,0,0,0,0,0
2016/09/21/atlmlb-nynmlb-1,543901,608061,R,R,GO,144,121,1,1,0,0,0,0,0,0,0,0
2016/09/21/atlmlb-nynmlb-1,112526,455976,R,L,FO,121,144,1,1,0,0,0,0,0,0,0,0
2016/09/21/atlmlb-nynmlb-1,112526,489232,R,R,KC,121,144,1,1,0,0,0,0,0,0,0,0
2016/09/21/atlmlb-nynmlb-1,112526,607054,R,L,GO,121,144,1,1,0,0,0,0,0,0,0,0
2016/09/21/atlmlb-nynmlb-1,543901,457477,R,L,BB,144,121,1,0,0,0,0,0,0,1,0,0
2016/09/21/atlmlb-nynmlb-1,543901,425766,R,L,CS,144,121,0,0,0,0,0,0,0,0,0,0
2016/09/21/atlmlb-nynmlb-1,543901,425766,R,L,LO,144,121,1,1,0,0,0,0,0,0,0,0
2016/09/21/atlmlb-nynmlb-1,543901,425784,R,R,GO,144,121,1,1,0,0,0,0,0,0,0,0
2016/09/21/atlmlb-nynmlb-1,112526,621020,R,R,FO,121,144,1,1,0,0,0,0,0,0,0,0
2016/09/21/atlmlb-nynmlb-1,112526,543901,R,R,KC,121,144,1,1,0,0,0,0,0,0,0,0
2016/09/21/atlmlb-nynmlb-1,112526,542255,R,L,KC,121,144,1,1,0,0,0,0,0,0,0,0
2016/09/21/atlmlb-nynmlb-1,543901,112526,R,R,KC,144,121,1,1,0,0,0,0,0,0,0,0
2016/09/21/atlmlb-nynmlb-1,543901,408314,R,L,LO,144,121,1,1,0,0,0,0,0,0,0,0
2016/09/21/atlmlb-nynmlb-1,543901,452678,R,L,LO,144,121,1,1,0,0,0,0,0,0,0,0
2016/09/21/atlmlb-nynmlb-1,112526,611177,R,R,LO,121,144,1,1,0,0,0,0,0,0,0,0
2016/09/21/atlmlb-nynmlb-1,112526,518692,R,L,S,121,144,1,1,1,0,0,0,1,0,0,0
2016/09/21/atlmlb-nynmlb-1,112526,461314,R,R,KS,121,144,1,1,0,0,0,0,0,0,0,0
2016/09/21/atlmlb-nynmlb-1,112526,455976,R,L,GO,121,144,1,1,0,0,0,0,0,0,0,0
2016/09/21/atlmlb-nynmlb-1,543901,493316,R,R,GO,144,121,1,1,0,0,0,0,0,0,0,0
2016/09/21/atlmlb-nynmlb-1,543901,434158,R,L,GO,144,121,1,1,0,0,0,0,0,0,0,0
2016/09/21/atlmlb-nynmlb-1,543901,608061,R,R,S,144,121,1,1,1,0,0,0,1,0,0,0
2016/09/21/atlmlb-nynmlb-1,543901,457477,R,L,GO,144,121,1,1,0,0,0,0,0,0,0,0
2016/09/21/atlmlb-nynmlb-1,112526,489232,R,R,FO,121,144,1,1,0,0,0,0,0,0,0,0
2016/09/21/atlmlb-nynmlb-1,112526,607054,R,L,GO,121,144,1,1,0,0,0,0,0,0,0,0
2016/09/21/atlmlb-nynmlb-1,112526,621020,R,R,KS,121,144,1,1,0,0,0,0,0,0,0,0
2016/09/21/atlmlb-nynmlb-1,543901,425766,R,L,GO,144,121,1,1,0,0,0,0,0,0,0,0
2016/09/21/atlmlb-nynmlb-1,543901,425784,R,R,HR,144,121,1,1,1,0,0,1,4,0,0,0
2016/09/21/atlmlb-nynmlb-1,543901,112526,R,R,KC,144,121,1,1,0,0,0,0,0,0,0,0
2016/09/21/atlmlb-nynmlb-1,543901,408314,R,L,S,144,121,1,1,1,0,0,0,1,0,0,0
